ACC=0.624537, f1_macro=0.614547, precision_macro=0.681179, recall_macro=0.652747, f1_micro=0.624537, precision_micro=0.624537, recall_micro=0.624537, NMI=0.313015, ADJ_RAND_SCORE=0.279891
ACC=0.624689, f1_macro=0.614766, precision_macro=0.680785, recall_macro=0.652603, f1_micro=0.624689, precision_micro=0.624689, recall_micro=0.624689, NMI=0.313115, ADJ_RAND_SCORE=0.280086
ACC=0.624740, f1_macro=0.614789, precision_macro=0.680987, recall_macro=0.652877, f1_micro=0.624740, precision_micro=0.624740, recall_micro=0.624740, NMI=0.313469, ADJ_RAND_SCORE=0.280272
ACC=0.624588, f1_macro=0.614644, precision_macro=0.680697, recall_macro=0.652518, f1_micro=0.624588, precision_micro=0.624588, recall_micro=0.624588, NMI=0.313078, ADJ_RAND_SCORE=0.280057
ACC=0.624740, f1_macro=0.614789, precision_macro=0.680987, recall_macro=0.652877, f1_micro=0.624740, precision_micro=0.624740, recall_micro=0.624740, NMI=0.313469, ADJ_RAND_SCORE=0.280272
ACC=0.624639, f1_macro=0.614695, precision_macro=0.680764, recall_macro=0.652561, f1_micro=0.624639, precision_micro=0.624639, recall_micro=0.624639, NMI=0.313152, ADJ_RAND_SCORE=0.280121
ACC=0.627175, f1_macro=0.617781, precision_macro=0.683026, recall_macro=0.653714, f1_micro=0.627175, precision_micro=0.627175, recall_micro=0.627175, NMI=0.311794, ADJ_RAND_SCORE=0.279482
ACC=0.627225, f1_macro=0.617841, precision_macro=0.683061, recall_macro=0.653796, f1_micro=0.627225, precision_micro=0.627225, recall_micro=0.627225, NMI=0.311965, ADJ_RAND_SCORE=0.279610
ACC=0.627175, f1_macro=0.617781, precision_macro=0.683026, recall_macro=0.653714, f1_micro=0.627175, precision_micro=0.627175, recall_micro=0.627175, NMI=0.311794, ADJ_RAND_SCORE=0.279482
ACC=0.627175, f1_macro=0.617781, precision_macro=0.683026, recall_macro=0.653714, f1_micro=0.627175, precision_micro=0.627175, recall_micro=0.627175, NMI=0.311794, ADJ_RAND_SCORE=0.279482
ACC=0.627225, f1_macro=0.617841, precision_macro=0.683061, recall_macro=0.653796, f1_micro=0.627225, precision_micro=0.627225, recall_micro=0.627225, NMI=0.311965, ADJ_RAND_SCORE=0.279610
ACC=0.627124, f1_macro=0.617721, precision_macro=0.682990, recall_macro=0.653633, f1_micro=0.627124, precision_micro=0.627124, recall_micro=0.627124, NMI=0.311623, ADJ_RAND_SCORE=0.279354
ACC=0.627124, f1_macro=0.617739, precision_macro=0.682927, recall_macro=0.653709, f1_micro=0.627124, precision_micro=0.627124, recall_micro=0.627124, NMI=0.311817, ADJ_RAND_SCORE=0.279481
ACC=0.627175, f1_macro=0.617781, precision_macro=0.683026, recall_macro=0.653714, f1_micro=0.627175, precision_micro=0.627175, recall_micro=0.627175, NMI=0.311794, ADJ_RAND_SCORE=0.279482
